cellid,lat,lon,home,high_dens,mid_dens,low_dens,work,transport
5373,45.469836599999994,9.2291714,1,1,0,0,0,0
5374,45.469830599999995,9.232177799999999,1,1,0,0,0,0
5375,45.4698246,9.2351842,1,1,0,0,1,0
5376,45.469818399999994,9.238190800000002,1,0,1,0,1,1
5377,45.469812000000005,9.2411968,1,0,1,0,0,1
5378,45.4698056,9.244203,1,0,1,0,0,1
5379,45.4697992,9.2472096,1,0,1,0,1,0
5380,45.4697924,9.2502158,1,0,1,0,1,0
5381,45.469786,9.253222000000001,0,0,0,1,1,1
5382,45.4697792,9.256228400000001,1,0,0,1,0,0
5463,45.47200840000001,9.1991158,1,0,1,0,0,0
5464,45.472002999999994,9.202122399999999,1,1,0,0,0,0
5465,45.4719978,9.2051288,1,1,0,0,0,0
5466,45.47199240000001,9.2081352,1,1,0,0,1,0
5467,45.4719866,9.2111416,1,1,0,0,0,0
5468,45.47198099999999,9.2141482,1,1,0,0,0,0
5469,45.47197559999999,9.2171544,1,1,0,0,1,0
5470,45.471969599999994,9.220161000000001,1,1,0,0,1,1
5471,45.4719636,9.2231674,1,1,0,0,0,0
5472,45.471957599999996,9.226173800000002,1,1,0,0,1,0
5473,45.4719516,9.22918,1,1,0,0,0,0
5474,45.4719456,9.2321864,1,1,0,0,1,0
5475,45.4719396,9.235192999999999,1,1,0,0,0,0
5476,45.4719336,9.238199400000001,1,1,0,0,1,1
5477,45.4719272,9.2412058,1,0,1,0,0,1
5478,45.4719206,9.2442122,1,0,1,0,1,1
5479,45.47191439999999,9.247218800000002,1,0,1,0,1,1
5480,45.471908,9.250225,1,0,1,0,0,1
5481,45.4719012,9.253231600000001,1,0,0,1,0,1
5482,45.471894400000004,9.256238,1,0,0,1,0,1
5563,45.4741238,9.1991234,0,0,0,1,0,0
5564,45.474118399999995,9.2021298,0,0,0,1,0,0
5565,45.474113,9.2051366,1,1,0,0,1,1
5566,45.474107599999996,9.208143199999999,1,1,0,0,1,0
5567,45.4741018,9.211149599999999,1,1,0,0,0,1
5568,45.47409639999999,9.2141562,1,1,0,0,0,1
5569,45.4740906,9.2171626,1,1,0,0,0,1
5570,45.4740848,9.220169199999999,1,1,0,0,0,0
5571,45.4740792,9.2231756,1,1,0,0,0,1
5572,45.4740732,9.2261824,1,1,0,0,1,0
5573,45.4740672,9.2291888,1,1,0,0,1,1
5574,45.4740612,9.2321952,1,1,0,0,1,0
5575,45.47405500000001,9.235201800000002,1,1,0,0,0,0
5576,45.474048599999996,9.2382082,1,1,0,0,1,1
5577,45.47404240000001,9.2412148,1,0,1,0,1,1
5578,45.474036,9.244221199999998,1,0,1,0,1,0
5579,45.474029599999994,9.247228,1,0,1,0,1,0
5580,45.4740232,9.250234600000002,1,0,1,0,1,0
5581,45.4740164,9.253241,0,0,0,1,0,1
5582,45.47401000000001,9.2562476,1,0,0,1,0,1
5663,45.476239,9.1991308,0,0,0,1,0,0
5664,45.4762336,9.202137599999999,1,1,0,0,0,0
5665,45.476228000000006,9.205144399999998,1,1,0,0,0,0
5666,45.4762228,9.208150800000002,1,1,0,0,1,0
5667,45.4762174,9.2111576,1,1,0,0,1,0
5668,45.4762116,9.214164199999999,1,1,0,0,0,1
5669,45.4762058,9.2171706,1,1,0,0,0,1
5670,45.476200399999996,9.2201774,1,1,0,0,0,1
5671,45.4761946,9.223184,1,1,0,0,0,1
